X,Y,NAME,TYPE,ADDRESS,REGION,WEBSITE,N1,N1_type,N2,N2_Type,Admin,Admin_Title,CONTACT,contact_alt,CHAIRMAN,Chairman_title,REMARKS,LAT,LONG
121.5605,15.75641,AURORA,SUB-CHAPTER,"Palayan Street, Brgy Buhangin, Baler, Aurora 3200",NORTHERN & CENTRAL LUZON,aurora@redcross.org.ph,,,,,Mr. Sherwin  A. Nakar,Acting Administrator,0999-8156168,,Dir. Bellaflor Angara-Castillo,Chapter Chairman,mother chapter-Nueva Ecija,15.7564,121.5605
125.57732,7.05628,DAVAO CITY,CHAPTER,"Manuel Roxas Avenue, Davao City 8000",MINDANAO REGION,davaocity@redcross.org.ph,082-3066233,Bloodbank,082-3211282,Fax,"Mr. Rogelio U. Aca, Jr.",Acting Administrator,0919-8435953,,Dir. Eduardo G. Robillo,Chapter Chairman,,7.05628,125.57732
124.84228,6.50838,SOUTH COTABATO,CHAPTER,"Mabini Street, Koronadal City, South Cotabato 9506",MINDANAO REGION,southcotabato@redcross.org,083-2287798,Telefax,083-2282414,Bloodbank,Mrs. Helen D. Caberto,Interim Chapter Administrator,0928-5013106,0920-5438858,Dir. Orlando N. Dela Cruz,Chapter Chairman,,6.50838,124.84228
120.61798,17.59834,ABRA,CHAPTER,"Taft Street, Bangued, Abra 2800",NORTHERN & CENTRAL LUZON,abra@redcross.org.ph,074-7525393,,,,Mrs. Almira V. Abrazado,Officer In Charge,0918-9355698,,Dir. Crescencio  J. Calina,Chapter Chairman,,17.5983,120.61798
121.34788,18.32165,APAYAO,SUB-CHAPTER,"Stall # 6 BGV Jr., Municipal Gym, Poblacion, Luna, Apayao",NORTHERN & CENTRAL LUZON,apayao@redcross.org.ph,,,,,Mrs. Laureen D. Cabrera,Officer In Charge,0918-9575281,0917-5028419,"Dir. Elias K. Bulut, Sr.",Chapter Chairman,mother chapter-Kalinga,18.3216,121.34788
120.54179,14.67964,BATAAN,CHAPTER,"Capitol Compound, San Jose, Balanga City, Bataan 2100",NORTHERN & CENTRAL LUZON,bataan@redcross.org.ph,047-7912351,Telefax,047-6914779,Bloodbank,Mrs. Florame S. Magalong,Officer In Charge,0908-8601396,,Dir. Angelita J. Cruz,Chapter Chairman,,14.6796,120.54179
120.81409,14.84778,BULACAN,CHAPTER,"Capitol Center, Guinhawa, City of Malolos, Bulacan 3000",NORTHERN & CENTRAL LUZON,bulacan@redcross.org.ph,044-6625922,Telefax,044-8960568,Bloodbank,Mr. Ricardo A. Villacorte,Officer In Charge,0932-8868725,0922-6965447,Dir. Belinda B. Bartolome,Chapter Chairman,,14.8478,120.81409
121.11229,16.80534,IFUGAO,SUB-CHAPTER,"3rd Flr. Provincial Engineering Office Building, Capitol Compound, Lagawe, Ifugao 3600",NORTHERN & CENTRAL LUZON,ifugao@redcross.org.ph,074-3822241,Direct Line,,,Mr. Randy G. Blanco,Officer In Charge,0916-4227670,0999-3705762,Dir. Carmelita B. Buyuccan,Chapter Chairman,mother chapter-Nueva Vizcaya,16.8053,121.11229
120.38547,17.57564,ILOCOS SUR,CHAPTER,"Burgos Street , Provincial Capitol Compound, Vigan City 2700",NORTHERN & CENTRAL LUZON,ilocos.sur@redcross.org.ph,077-7222684,Telefax,,,Mr. Raymund Mario T. Chan,Officer In Charge,0915-7657444,,Dir. Azucena A. Purisima,Chapter Chairman,,17.5756,120.38547
120.97662,17.09016,MT. PROVINCE,SUB-CHAPTER,"Capitol Compound, Bontoc, Mt. Province 3616",NORTHERN & CENTRAL LUZON,mtprovince@redcross.org.ph,074-6021074,Landline,,,Ms. Veronica C. Tactay,Officer In Charge,0928-6280481,,Dir. Leonard G. Mayaen,Chapter Chairman,mother chapter-Baguio City,17.0902,120.97662
